GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
yoga-app,com.openclassrooms.starterjwt.security.jwt,AuthTokenFilter,0,76,0,8,0,21,0,8,0,4
yoga-app,com.openclassrooms.starterjwt.security.jwt,AuthEntryPointJwt,0,7,0,0,0,2,0,2,0,2
yoga-app,com.openclassrooms.starterjwt.security.jwt,JwtUtils,14,83,0,0,4,19,0,5,0,5
yoga-app,com.openclassrooms.starterjwt.security.services,UserDetailsServiceImpl,0,39,0,0,0,13,0,3,0,3
yoga-app,com.openclassrooms.starterjwt.security.services,UserDetailsImpl,0,35,1,5,0,11,1,8,0,6
yoga-app,com.openclassrooms.starterjwt.exception,NotFoundException,0,3,0,0,0,1,0,1,0,1
yoga-app,com.openclassrooms.starterjwt.exception,GlobalExceptionHandler,0,6,0,0,0,2,0,2,0,2
yoga-app,com.openclassrooms.starterjwt.exception,BadRequestException,0,3,0,0,0,1,0,1,0,1
yoga-app,com.openclassrooms.starterjwt.controllers,UserController,0,58,0,6,0,15,0,6,0,3
yoga-app,com.openclassrooms.starterjwt.controllers,TeacherController,0,39,0,2,0,10,0,4,0,3
yoga-app,com.openclassrooms.starterjwt.controllers,SessionController,0,125,0,4,0,26,0,11,0,9
yoga-app,com.openclassrooms.starterjwt.controllers,AuthController,0,88,1,3,0,26,1,4,0,3
yoga-app,com.openclassrooms.starterjwt.mapper,SessionMapperImpl,37,169,8,10,9,32,7,10,1,7
yoga-app,com.openclassrooms.starterjwt.mapper,TeacherMapperImpl,8,117,4,8,4,27,4,7,0,5
yoga-app,com.openclassrooms.starterjwt.mapper,SessionMapper,0,3,0,0,0,1,0,1,0,1
yoga-app,com.openclassrooms.starterjwt.mapper,UserMapperImpl,8,144,4,8,4,33,4,7,0,5
yoga-app,com.openclassrooms.starterjwt.services,SessionService,1,153,1,11,0,30,1,16,0,11
yoga-app,com.openclassrooms.starterjwt.services,UserService,0,76,0,0,0,19,0,8,0,8
yoga-app,com.openclassrooms.starterjwt.services,TeacherService,0,18,0,0,0,5,0,3,0,3
yoga-app,com.openclassrooms.starterjwt.configuration,AppConfig,0,15,0,0,0,4,0,2,0,2
yoga-app,com.openclassrooms.starterjwt.security,WebSecurityConfig,0,88,0,0,0,23,0,10,0,10
